timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,592.18
2023-11-30 12:05:00,1,2,670.15
2023-11-30 12:10:00,1,3,610.66
2023-11-30 12:15:00,1,4,597.66
2023-11-30 12:20:00,1,5,623.12
2023-11-30 12:25:00,2,1,534.31
2023-11-30 12:30:00,2,2,682.59
2023-11-30 12:35:00,2,3,516.04
2023-11-30 12:40:00,2,4,598.89
2023-11-30 12:45:00,2,5,544.37
2023-11-30 12:50:00,3,1,588.42
2023-11-30 12:55:00,3,2,672.93
2023-11-30 13:00:00,3,3,690.16
2023-11-30 13:05:00,3,4,685.77
2023-11-30 13:10:00,3,5,547.46
2023-11-30 13:15:00,4,1,620.48
2023-11-30 13:20:00,4,2,660.84
2023-11-30 13:25:00,4,3,525.02
2023-11-30 13:30:00,4,4,501.16
2023-11-30 13:35:00,4,5,537.98
2023-11-30 13:40:00,5,1,548.37
2023-11-30 13:45:00,5,2,518.87
2023-11-30 13:50:00,5,3,677.45
2023-11-30 13:55:00,5,4,552.77
2023-11-30 14:00:00,5,5,501.57
