timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,537.78
2023-11-30 12:05:00,1,2,662.86
2023-11-30 12:10:00,1,3,608.94
2023-11-30 12:15:00,1,4,524.31
2023-11-30 12:20:00,1,5,550.17
2023-11-30 12:25:00,2,1,687.04
2023-11-30 12:30:00,2,2,527.25
2023-11-30 12:35:00,2,3,620.15
2023-11-30 12:40:00,2,4,661.52
2023-11-30 12:45:00,2,5,539.55
2023-11-30 12:50:00,3,1,652.51
2023-11-30 12:55:00,3,2,566.93
2023-11-30 13:00:00,3,3,506.61
2023-11-30 13:05:00,3,4,695.87
2023-11-30 13:10:00,3,5,604.26
2023-11-30 13:15:00,4,1,683.72
2023-11-30 13:20:00,4,2,638.8
2023-11-30 13:25:00,4,3,560.59
2023-11-30 13:30:00,4,4,553.27
2023-11-30 13:35:00,4,5,652.85
2023-11-30 13:40:00,5,1,643.88
2023-11-30 13:45:00,5,2,570.78
2023-11-30 13:50:00,5,3,602.06
2023-11-30 13:55:00,5,4,568.53
2023-11-30 14:00:00,5,5,647.53
