timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,598.76
2023-11-30 12:05:00,1,2,603.08
2023-11-30 12:10:00,1,3,615.46
2023-11-30 12:15:00,1,4,655.25
2023-11-30 12:20:00,1,5,665.61
2023-11-30 12:25:00,2,1,647.29
2023-11-30 12:30:00,2,2,672.51
2023-11-30 12:35:00,2,3,534.54
2023-11-30 12:40:00,2,4,571.78
2023-11-30 12:45:00,2,5,684.38
2023-11-30 12:50:00,3,1,637.86
2023-11-30 12:55:00,3,2,552.31
2023-11-30 13:00:00,3,3,644.56
2023-11-30 13:05:00,3,4,628.25
2023-11-30 13:10:00,3,5,562.59
2023-11-30 13:15:00,4,1,657.38
2023-11-30 13:20:00,4,2,625.99
2023-11-30 13:25:00,4,3,545.22
2023-11-30 13:30:00,4,4,561.76
2023-11-30 13:35:00,4,5,559.96
2023-11-30 13:40:00,5,1,622.04
2023-11-30 13:45:00,5,2,648.57
2023-11-30 13:50:00,5,3,519.93
2023-11-30 13:55:00,5,4,502.6
2023-11-30 14:00:00,5,5,560.65
