timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,560.59
2023-11-30 12:05:00,1,2,513.56
2023-11-30 12:10:00,1,3,698.28
2023-11-30 12:15:00,1,4,642.11
2023-11-30 12:20:00,1,5,512.98
2023-11-30 12:25:00,2,1,579.98
2023-11-30 12:30:00,2,2,673.67
2023-11-30 12:35:00,2,3,594.83
2023-11-30 12:40:00,2,4,556.67
2023-11-30 12:45:00,2,5,580.15
2023-11-30 12:50:00,3,1,635.86
2023-11-30 12:55:00,3,2,649.14
2023-11-30 13:00:00,3,3,509.11
2023-11-30 13:05:00,3,4,573.74
2023-11-30 13:10:00,3,5,691.47
2023-11-30 13:15:00,4,1,621.92
2023-11-30 13:20:00,4,2,539.65
2023-11-30 13:25:00,4,3,646.33
2023-11-30 13:30:00,4,4,566.37
2023-11-30 13:35:00,4,5,590.23
2023-11-30 13:40:00,5,1,577.03
2023-11-30 13:45:00,5,2,625.06
2023-11-30 13:50:00,5,3,539.35
2023-11-30 13:55:00,5,4,512.2
2023-11-30 14:00:00,5,5,648.72
