timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,550.94
2023-11-30 12:05:00,1,2,626.09
2023-11-30 12:10:00,1,3,578.76
2023-11-30 12:15:00,1,4,689.49
2023-11-30 12:20:00,1,5,559.35
2023-11-30 12:25:00,2,1,633.42
2023-11-30 12:30:00,2,2,525.29
2023-11-30 12:35:00,2,3,674.06
2023-11-30 12:40:00,2,4,655.03
2023-11-30 12:45:00,2,5,642.01
2023-11-30 12:50:00,3,1,643.47
2023-11-30 12:55:00,3,2,598.33
2023-11-30 13:00:00,3,3,606.81
2023-11-30 13:05:00,3,4,611.3
2023-11-30 13:10:00,3,5,599.88
2023-11-30 13:15:00,4,1,575.78
2023-11-30 13:20:00,4,2,501.06
2023-11-30 13:25:00,4,3,543.3
2023-11-30 13:30:00,4,4,504.51
2023-11-30 13:35:00,4,5,585.74
2023-11-30 13:40:00,5,1,628.71
2023-11-30 13:45:00,5,2,650.19
2023-11-30 13:50:00,5,3,594.16
2023-11-30 13:55:00,5,4,590.4
2023-11-30 14:00:00,5,5,616.12
