timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,363.97
2023-11-30 12:05:00,1,2,370.03
2023-11-30 12:10:00,1,3,363.43
2023-11-30 12:15:00,1,4,327.52
2023-11-30 12:20:00,1,5,368.18
2023-11-30 12:25:00,2,1,453.11
2023-11-30 12:30:00,2,2,411.91
2023-11-30 12:35:00,2,3,442.43
2023-11-30 12:40:00,2,4,434.2
2023-11-30 12:45:00,2,5,338.29
2023-11-30 12:50:00,3,1,347.92
2023-11-30 12:55:00,3,2,431.77
2023-11-30 13:00:00,3,3,435.38
2023-11-30 13:05:00,3,4,498.18
2023-11-30 13:10:00,3,5,427.45
2023-11-30 13:15:00,4,1,470.15
2023-11-30 13:20:00,4,2,437.98
2023-11-30 13:25:00,4,3,418.37
2023-11-30 13:30:00,4,4,478.77
2023-11-30 13:35:00,4,5,380.53
2023-11-30 13:40:00,5,1,353.31
2023-11-30 13:45:00,5,2,425.59
2023-11-30 13:50:00,5,3,487.11
2023-11-30 13:55:00,5,4,441.48
2023-11-30 14:00:00,5,5,344.48
