timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,411.3
2023-11-30 12:05:00,1,2,375.75
2023-11-30 12:10:00,1,3,350.29
2023-11-30 12:15:00,1,4,321.15
2023-11-30 12:20:00,1,5,484.86
2023-11-30 12:25:00,2,1,408.41
2023-11-30 12:30:00,2,2,391.32
2023-11-30 12:35:00,2,3,359.34
2023-11-30 12:40:00,2,4,333.32
2023-11-30 12:45:00,2,5,340.42
2023-11-30 12:50:00,3,1,415.33
2023-11-30 12:55:00,3,2,388.72
2023-11-30 13:00:00,3,3,469.21
2023-11-30 13:05:00,3,4,466.47
2023-11-30 13:10:00,3,5,348.43
2023-11-30 13:15:00,4,1,347.1
2023-11-30 13:20:00,4,2,373.42
2023-11-30 13:25:00,4,3,485.87
2023-11-30 13:30:00,4,4,359.4
2023-11-30 13:35:00,4,5,457.67
2023-11-30 13:40:00,5,1,493.23
2023-11-30 13:45:00,5,2,400.88
2023-11-30 13:50:00,5,3,445.04
2023-11-30 13:55:00,5,4,494.95
2023-11-30 14:00:00,5,5,315.2
