timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,441.01
2023-11-30 12:05:00,1,2,365.69
2023-11-30 12:10:00,1,3,495.8
2023-11-30 12:15:00,1,4,345.01
2023-11-30 12:20:00,1,5,443.6
2023-11-30 12:25:00,2,1,344.25
2023-11-30 12:30:00,2,2,393.71
2023-11-30 12:35:00,2,3,387.7
2023-11-30 12:40:00,2,4,490.96
2023-11-30 12:45:00,2,5,469.07
2023-11-30 12:50:00,3,1,341.35
2023-11-30 12:55:00,3,2,372.57
2023-11-30 13:00:00,3,3,450.86
2023-11-30 13:05:00,3,4,314.45
2023-11-30 13:10:00,3,5,440.75
2023-11-30 13:15:00,4,1,488.02
2023-11-30 13:20:00,4,2,435.96
2023-11-30 13:25:00,4,3,485.87
2023-11-30 13:30:00,4,4,492.65
2023-11-30 13:35:00,4,5,369.75
2023-11-30 13:40:00,5,1,465.74
2023-11-30 13:45:00,5,2,351.7
2023-11-30 13:50:00,5,3,458.5
2023-11-30 13:55:00,5,4,481.86
2023-11-30 14:00:00,5,5,448.02
