timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,489.38
2023-11-30 12:05:00,1,2,426.57
2023-11-30 12:10:00,1,3,443.43
2023-11-30 12:15:00,1,4,383.37
2023-11-30 12:20:00,1,5,395.96
2023-11-30 12:25:00,2,1,367.98
2023-11-30 12:30:00,2,2,489.11
2023-11-30 12:35:00,2,3,477.95
2023-11-30 12:40:00,2,4,424.25
2023-11-30 12:45:00,2,5,440.8
2023-11-30 12:50:00,3,1,316.63
2023-11-30 12:55:00,3,2,301.44
2023-11-30 13:00:00,3,3,332.38
2023-11-30 13:05:00,3,4,453.35
2023-11-30 13:10:00,3,5,439.54
2023-11-30 13:15:00,4,1,337.03
2023-11-30 13:20:00,4,2,368.37
2023-11-30 13:25:00,4,3,346.3
2023-11-30 13:30:00,4,4,476.37
2023-11-30 13:35:00,4,5,491.21
2023-11-30 13:40:00,5,1,367.67
2023-11-30 13:45:00,5,2,351.55
2023-11-30 13:50:00,5,3,442.31
2023-11-30 13:55:00,5,4,408.06
2023-11-30 14:00:00,5,5,449.83
