timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,343.26
2023-11-30 12:05:00,1,2,389.65
2023-11-30 12:10:00,1,3,439.54
2023-11-30 12:15:00,1,4,438.84
2023-11-30 12:20:00,1,5,390.1
2023-11-30 12:25:00,2,1,481.39
2023-11-30 12:30:00,2,2,426.25
2023-11-30 12:35:00,2,3,347.2
2023-11-30 12:40:00,2,4,466.02
2023-11-30 12:45:00,2,5,304.55
2023-11-30 12:50:00,3,1,410.55
2023-11-30 12:55:00,3,2,449.01
2023-11-30 13:00:00,3,3,317.64
2023-11-30 13:05:00,3,4,370.53
2023-11-30 13:10:00,3,5,455.27
2023-11-30 13:15:00,4,1,469.3
2023-11-30 13:20:00,4,2,302.08
2023-11-30 13:25:00,4,3,419.3
2023-11-30 13:30:00,4,4,307.53
2023-11-30 13:35:00,4,5,302.16
2023-11-30 13:40:00,5,1,390.2
2023-11-30 13:45:00,5,2,365.66
2023-11-30 13:50:00,5,3,430.36
2023-11-30 13:55:00,5,4,348.24
2023-11-30 14:00:00,5,5,359.46
