timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,116.09
2023-11-30 12:05:00,1,2,172.46
2023-11-30 12:10:00,1,3,151.53
2023-11-30 12:15:00,1,4,131.27
2023-11-30 12:20:00,1,5,119.13
2023-11-30 12:25:00,2,1,107.69
2023-11-30 12:30:00,2,2,109.61
2023-11-30 12:35:00,2,3,162.74
2023-11-30 12:40:00,2,4,192.0
2023-11-30 12:45:00,2,5,104.76
2023-11-30 12:50:00,3,1,143.83
2023-11-30 12:55:00,3,2,150.35
2023-11-30 13:00:00,3,3,123.45
2023-11-30 13:05:00,3,4,175.01
2023-11-30 13:10:00,3,5,153.21
2023-11-30 13:15:00,4,1,126.16
2023-11-30 13:20:00,4,2,154.83
2023-11-30 13:25:00,4,3,124.86
2023-11-30 13:30:00,4,4,188.3
2023-11-30 13:35:00,4,5,184.49
2023-11-30 13:40:00,5,1,110.33
2023-11-30 13:45:00,5,2,128.35
2023-11-30 13:50:00,5,3,156.99
2023-11-30 13:55:00,5,4,150.47
2023-11-30 14:00:00,5,5,115.51
