timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,108.57
2023-11-30 12:05:00,1,2,151.81
2023-11-30 12:10:00,1,3,145.77
2023-11-30 12:15:00,1,4,151.05
2023-11-30 12:20:00,1,5,197.59
2023-11-30 12:25:00,2,1,175.01
2023-11-30 12:30:00,2,2,166.67
2023-11-30 12:35:00,2,3,144.84
2023-11-30 12:40:00,2,4,121.09
2023-11-30 12:45:00,2,5,105.56
2023-11-30 12:50:00,3,1,197.36
2023-11-30 12:55:00,3,2,151.16
2023-11-30 13:00:00,3,3,127.32
2023-11-30 13:05:00,3,4,154.3
2023-11-30 13:10:00,3,5,120.1
2023-11-30 13:15:00,4,1,138.64
2023-11-30 13:20:00,4,2,188.39
2023-11-30 13:25:00,4,3,101.04
2023-11-30 13:30:00,4,4,108.31
2023-11-30 13:35:00,4,5,176.18
2023-11-30 13:40:00,5,1,159.77
2023-11-30 13:45:00,5,2,109.32
2023-11-30 13:50:00,5,3,100.16
2023-11-30 13:55:00,5,4,100.37
2023-11-30 14:00:00,5,5,113.62
