timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,120.74
2023-11-30 12:05:00,1,2,121.25
2023-11-30 12:10:00,1,3,196.49
2023-11-30 12:15:00,1,4,136.39
2023-11-30 12:20:00,1,5,167.21
2023-11-30 12:25:00,2,1,159.62
2023-11-30 12:30:00,2,2,163.01
2023-11-30 12:35:00,2,3,162.85
2023-11-30 12:40:00,2,4,132.02
2023-11-30 12:45:00,2,5,102.55
2023-11-30 12:50:00,3,1,147.97
2023-11-30 12:55:00,3,2,199.4
2023-11-30 13:00:00,3,3,181.79
2023-11-30 13:05:00,3,4,103.04
2023-11-30 13:10:00,3,5,179.01
2023-11-30 13:15:00,4,1,111.56
2023-11-30 13:20:00,4,2,183.45
2023-11-30 13:25:00,4,3,160.06
2023-11-30 13:30:00,4,4,129.43
2023-11-30 13:35:00,4,5,159.9
2023-11-30 13:40:00,5,1,197.35
2023-11-30 13:45:00,5,2,144.45
2023-11-30 13:50:00,5,3,120.54
2023-11-30 13:55:00,5,4,143.49
2023-11-30 14:00:00,5,5,130.29
