timestamp,spot_x,spot_y,sensor_reading
2023-11-30 12:00:00,1,1,180.08
2023-11-30 12:05:00,1,2,199.88
2023-11-30 12:10:00,1,3,190.38
2023-11-30 12:15:00,1,4,191.1
2023-11-30 12:20:00,1,5,166.17
2023-11-30 12:25:00,2,1,138.67
2023-11-30 12:30:00,2,2,155.71
2023-11-30 12:35:00,2,3,163.85
2023-11-30 12:40:00,2,4,166.01
2023-11-30 12:45:00,2,5,170.15
2023-11-30 12:50:00,3,1,118.86
2023-11-30 12:55:00,3,2,130.28
2023-11-30 13:00:00,3,3,101.48
2023-11-30 13:05:00,3,4,185.51
2023-11-30 13:10:00,3,5,180.64
2023-11-30 13:15:00,4,1,199.16
2023-11-30 13:20:00,4,2,126.44
2023-11-30 13:25:00,4,3,168.45
2023-11-30 13:30:00,4,4,183.03
2023-11-30 13:35:00,4,5,117.13
2023-11-30 13:40:00,5,1,185.18
2023-11-30 13:45:00,5,2,163.08
2023-11-30 13:50:00,5,3,193.24
2023-11-30 13:55:00,5,4,167.98
2023-11-30 14:00:00,5,5,120.39
